day,hour,PULocationID,DOLocationID,trip_duration
Friday,0,259,32,458.0
Friday,5,259,32,622.0
Friday,6,259,32,1028.0
Friday,7,259,32,1247.0
Friday,8,259,32,1079.0
Friday,8,259,32,1108.0
Friday,8,259,32,631.0
Friday,9,259,32,850.0
Friday,9,259,32,670.0
Friday,10,259,32,741.0
Friday,11,259,32,612.0
Friday,11,259,32,1588.0
Friday,11,259,32,1362.0
Friday,11,259,32,404.0
Friday,14,259,32,942.0
Friday,14,259,32,504.0
Friday,15,259,32,1512.0
Friday,16,259,32,1617.0
Friday,16,259,32,882.0
Friday,17,259,32,694.0
Friday,17,259,32,972.0
Friday,17,259,32,4101.0
Friday,17,259,32,892.0
Friday,17,259,32,961.0
Friday,18,259,32,800.0
Friday,18,259,32,1073.0
Friday,20,259,32,913.0
Friday,23,259,32,700.0
Friday,23,259,32,451.0
Friday,23,259,32,719.0
Saturday,0,259,32,705.0
Saturday,2,259,32,673.0
Saturday,2,259,32,552.0
Saturday,2,259,32,784.0
Saturday,3,259,32,668.0
Saturday,5,259,32,392.0
Saturday,6,259,32,464.0
Saturday,6,259,32,831.0
Saturday,7,259,32,1118.0
Saturday,7,259,32,602.0
Saturday,8,259,32,847.0
Saturday,8,259,32,1059.0
Saturday,9,259,32,1301.0
Saturday,12,259,32,692.0
Saturday,13,259,32,808.0
Saturday,15,259,32,1155.0
Saturday,17,259,32,588.0
Saturday,18,259,32,743.0
Saturday,18,259,32,807.0
Saturday,18,259,32,942.0
Saturday,18,259,32,703.0
Saturday,19,259,32,652.0
Saturday,19,259,32,750.0
Saturday,19,259,32,1203.0
Saturday,19,259,32,1001.0
Saturday,21,259,32,508.0
Saturday,21,259,32,1155.0
Saturday,21,259,32,2242.0
Saturday,22,259,32,967.0
Saturday,23,259,32,1060.0
Saturday,23,259,32,1452.0
Saturday,23,259,32,666.0
Sunday,0,259,32,514.0
Sunday,0,259,32,619.0
Sunday,0,259,32,743.0
Sunday,1,259,32,515.0
Sunday,2,259,32,1165.0
Sunday,2,259,32,737.0
Sunday,4,259,32,615.0
Sunday,5,259,32,543.0
Sunday,5,259,32,712.0
Sunday,7,259,32,541.0
Sunday,10,259,32,988.0
Sunday,11,259,32,827.0
Sunday,11,259,32,749.0
Sunday,11,259,32,488.0
Sunday,12,259,32,628.0
Sunday,12,259,32,895.0
Sunday,14,259,32,1236.0
Sunday,14,259,32,477.0
Sunday,15,259,32,1515.0
Sunday,15,259,32,1001.0
Sunday,16,259,32,828.0
Sunday,17,259,32,828.0
Sunday,18,259,32,795.0
Sunday,20,259,32,784.0
Sunday,20,259,32,2023.0
Sunday,20,259,32,990.0
Sunday,23,259,32,696.0
Sunday,23,259,32,1789.0
Sunday,23,259,32,950.0
Sunday,23,259,32,594.0
Sunday,23,259,32,1261.0
Sunday,23,259,32,635.0
Sunday,23,259,32,530.0
Monday,1,259,32,789.0
Monday,2,259,32,710.0
Monday,6,259,32,698.0
Monday,8,259,32,1139.0
Monday,8,259,32,1204.0
Monday,8,259,32,875.0
Monday,9,259,32,597.0
Monday,10,259,32,1054.0
Monday,12,259,32,1503.0
Monday,12,259,32,566.0
Monday,15,259,32,1414.0
Monday,15,259,32,714.0
Monday,16,259,32,1273.0
Monday,16,259,32,891.0
Monday,16,259,32,1557.0
Monday,17,259,32,828.0
Monday,18,259,32,622.0
Monday,18,259,32,1157.0
Monday,19,259,32,790.0
Monday,20,259,32,883.0
Monday,21,259,32,727.0
Monday,22,259,32,666.0
Monday,23,259,32,603.0
Tuesday,0,259,32,355.0
Tuesday,7,259,32,781.0
Tuesday,7,259,32,1324.0
Tuesday,10,259,32,711.0
Tuesday,12,259,32,600.0
Tuesday,14,259,32,568.0
Tuesday,15,259,32,667.0
Tuesday,15,259,32,568.0
Tuesday,15,259,32,1105.0
Tuesday,15,259,32,846.0
Tuesday,17,259,32,1249.0
Tuesday,17,259,32,893.0
Tuesday,18,259,32,872.0
Tuesday,19,259,32,1308.0
Tuesday,20,259,32,706.0
Tuesday,22,259,32,550.0
Tuesday,22,259,32,663.0
Tuesday,23,259,32,523.0
Tuesday,23,259,32,1305.0
Wednesday,0,259,32,846.0
Wednesday,7,259,32,1700.0
Wednesday,7,259,32,1854.0
Wednesday,8,259,32,1012.0
Wednesday,8,259,32,746.0
Wednesday,8,259,32,1271.0
Wednesday,9,259,32,706.0
Wednesday,9,259,32,971.0
Wednesday,17,259,32,628.0
Wednesday,19,259,32,844.0
Wednesday,19,259,32,1096.0
Wednesday,20,259,32,892.0
Wednesday,21,259,32,774.0
Wednesday,21,259,32,1260.0
Wednesday,22,259,32,721.0
Thursday,0,259,32,629.0
Thursday,4,259,32,1016.0
Thursday,8,259,32,992.0
Thursday,8,259,32,1016.0
Thursday,9,259,32,725.0
Thursday,9,259,32,775.0
Thursday,11,259,32,1438.0
Thursday,13,259,32,963.0
Thursday,15,259,32,773.0
Thursday,15,259,32,967.0
Thursday,16,259,32,914.0
Thursday,17,259,32,664.0
Thursday,17,259,32,817.0
Thursday,17,259,32,752.0
Thursday,18,259,32,730.0
Thursday,19,259,32,956.0
Thursday,20,259,32,832.0
Thursday,20,259,32,764.0
Thursday,21,259,32,919.0
Thursday,23,259,32,576.0
Friday,0,259,32,595.0
Friday,0,259,32,618.0
Friday,8,259,32,930.0
Friday,8,259,32,918.0
Friday,8,259,32,871.0
Friday,8,259,32,1148.0
Friday,9,259,32,616.0
Friday,9,259,32,1460.0
Friday,9,259,32,804.0
Friday,11,259,32,1276.0
Friday,11,259,32,737.0
Friday,13,259,32,672.0
Friday,16,259,32,1273.0
Friday,17,259,32,684.0
Friday,19,259,32,682.0
Friday,19,259,32,803.0
Friday,19,259,32,1654.0
Friday,20,259,32,663.0
Friday,21,259,32,679.0
Friday,22,259,32,868.0
Saturday,0,259,32,573.0
Saturday,3,259,32,998.0
Saturday,7,259,32,587.0
Saturday,7,259,32,628.0
Saturday,8,259,32,583.0
Saturday,8,259,32,646.0
Saturday,9,259,32,991.0
Saturday,10,259,32,742.0
Saturday,11,259,32,1308.0
Saturday,11,259,32,841.0
Saturday,12,259,32,700.0
Saturday,13,259,32,1110.0
Saturday,13,259,32,885.0
Saturday,16,259,32,1050.0
Saturday,16,259,32,800.0
Saturday,17,259,32,1132.0
Saturday,17,259,32,975.0
Saturday,18,259,32,814.0
Saturday,18,259,32,1149.0
Saturday,20,259,32,752.0
Saturday,22,259,32,508.0
Saturday,23,259,32,1126.0
Saturday,23,259,32,462.0
Sunday,3,259,32,636.0
Sunday,7,259,32,591.0
Sunday,8,259,32,809.0
Sunday,10,259,32,471.0
Sunday,11,259,32,643.0
Sunday,12,259,32,590.0
Sunday,14,259,32,727.0
Sunday,15,259,32,728.0
Sunday,16,259,32,1004.0
Sunday,16,259,32,669.0
Sunday,17,259,32,686.0
Sunday,17,259,32,755.0
Sunday,18,259,32,761.0
Sunday,19,259,32,765.0
Sunday,20,259,32,1116.0
Sunday,21,259,32,789.0
Sunday,22,259,32,546.0
Sunday,22,259,32,591.0
Sunday,22,259,32,740.0
Sunday,23,259,32,902.0
Monday,4,259,32,658.0
Monday,7,259,32,826.0
Monday,8,259,32,859.0
Monday,8,259,32,1014.0
Monday,8,259,32,1116.0
Monday,8,259,32,1001.0
Monday,9,259,32,718.0
Monday,11,259,32,594.0
Monday,12,259,32,574.0
Monday,13,259,32,809.0
Monday,14,259,32,1458.0
Monday,14,259,32,1021.0
Monday,14,259,32,546.0
Monday,15,259,32,972.0
Monday,20,259,32,761.0
Monday,21,259,32,990.0
Monday,23,259,32,330.0
Monday,23,259,32,1149.0
Tuesday,0,259,32,726.0
Tuesday,0,259,32,498.0
Tuesday,1,259,32,600.0
Tuesday,11,259,32,843.0
Tuesday,13,259,32,769.0
Tuesday,13,259,32,1115.0
Tuesday,14,259,32,765.0
Tuesday,15,259,32,1232.0
Tuesday,15,259,32,1560.0
Tuesday,15,259,32,1502.0
Tuesday,16,259,32,1255.0
Tuesday,17,259,32,1389.0
Tuesday,20,259,32,999.0
Tuesday,22,259,32,673.0
Tuesday,22,259,32,669.0
Wednesday,0,259,32,471.0
Wednesday,1,259,32,598.0
Wednesday,7,259,32,1545.0
Wednesday,8,259,32,817.0
Wednesday,9,259,32,720.0
Wednesday,11,259,32,729.0
Wednesday,12,259,32,763.0
Wednesday,14,259,32,1423.0
Wednesday,15,259,32,726.0
Wednesday,15,259,32,1016.0
Wednesday,16,259,32,965.0
Wednesday,16,259,32,872.0
Wednesday,17,259,32,787.0
Wednesday,18,259,32,1402.0
Wednesday,19,259,32,1394.0
Wednesday,20,259,32,805.0
Wednesday,21,259,32,668.0
Wednesday,22,259,32,591.0
Wednesday,23,259,32,697.0
Thursday,6,259,32,799.0
Thursday,7,259,32,593.0
Thursday,7,259,32,1151.0
Thursday,8,259,32,802.0
Thursday,9,259,32,1037.0
Thursday,9,259,32,831.0
Thursday,12,259,32,656.0
Thursday,12,259,32,647.0
Thursday,12,259,32,1112.0
Thursday,13,259,32,1018.0
Thursday,15,259,32,863.0
Thursday,18,259,32,851.0
Thursday,18,259,32,692.0
Thursday,19,259,32,1230.0
Thursday,19,259,32,787.0
Thursday,20,259,32,600.0
Thursday,21,259,32,931.0
Thursday,21,259,32,602.0
Thursday,21,259,32,619.0
Thursday,21,259,32,695.0
Friday,1,259,32,1364.0
Friday,8,259,32,610.0
Friday,9,259,32,569.0
Friday,9,259,32,835.0
Friday,9,259,32,883.0
Friday,9,259,32,1127.0
Friday,9,259,32,583.0
Friday,9,259,32,898.0
Friday,10,259,32,619.0
Friday,11,259,32,661.0
Friday,12,259,32,983.0
Friday,13,259,32,1070.0
Friday,16,259,32,721.0
Friday,16,259,32,1170.0
Friday,17,259,32,1209.0
Friday,17,259,32,1654.0
Friday,18,259,32,802.0
Friday,18,259,32,878.0
Friday,19,259,32,848.0
Friday,19,259,32,1045.0
Friday,19,259,32,637.0
Friday,19,259,32,761.0
Friday,20,259,32,636.0
Friday,21,259,32,1020.0
Friday,21,259,32,1387.0
Friday,22,259,32,667.0
Friday,23,259,32,632.0
Friday,23,259,32,699.0
Friday,23,259,32,660.0
Saturday,0,259,32,665.0
Saturday,0,259,32,517.0
Saturday,2,259,32,655.0
Saturday,2,259,32,887.0
Saturday,3,259,32,418.0
Saturday,5,259,32,627.0
Saturday,7,259,32,655.0
Saturday,10,259,32,662.0
Saturday,11,259,32,1387.0
Saturday,11,259,32,737.0
Saturday,12,259,32,669.0
Saturday,12,259,32,704.0
Saturday,15,259,32,934.0
Saturday,17,259,32,667.0
Saturday,17,259,32,651.0
Saturday,17,259,32,789.0
Saturday,18,259,32,700.0
Saturday,19,259,32,541.0
Saturday,20,259,32,1006.0
Saturday,20,259,32,649.0
Saturday,20,259,32,925.0
Saturday,20,259,32,748.0
Saturday,21,259,32,767.0
Saturday,21,259,32,761.0
Saturday,21,259,32,719.0
Saturday,22,259,32,859.0
Saturday,23,259,32,647.0
Saturday,23,259,32,722.0
Sunday,0,259,32,590.0
Sunday,0,259,32,471.0
Sunday,0,259,32,480.0
Sunday,0,259,32,781.0
Sunday,1,259,32,635.0
Sunday,2,259,32,618.0
Sunday,2,259,32,581.0
Sunday,3,259,32,915.0
Sunday,4,259,32,512.0
Sunday,4,259,32,450.0
Sunday,4,259,32,640.0
Sunday,7,259,32,576.0
Sunday,9,259,32,603.0
Sunday,10,259,32,967.0
Sunday,10,259,32,681.0
Sunday,10,259,32,1214.0
Sunday,12,259,32,873.0
Sunday,12,259,32,775.0
Sunday,13,259,32,832.0
Sunday,13,259,32,824.0
Sunday,14,259,32,876.0
Sunday,14,259,32,949.0
Sunday,15,259,32,1173.0
Sunday,15,259,32,759.0
Sunday,15,259,32,672.0
Sunday,17,259,32,606.0
Sunday,18,259,32,754.0
Sunday,18,259,32,1159.0
Sunday,19,259,32,627.0
Sunday,20,259,32,950.0
Sunday,20,259,32,949.0
Sunday,22,259,32,639.0
Sunday,23,259,32,1111.0
Sunday,23,259,32,565.0
Sunday,23,259,32,1266.0
Sunday,23,259,32,1378.0
Monday,0,259,32,614.0
Monday,0,259,32,561.0
Monday,0,259,32,725.0
Monday,2,259,32,726.0
Monday,2,259,32,1211.0
Monday,8,259,32,619.0
Monday,9,259,32,780.0
Monday,9,259,32,898.0
Monday,14,259,32,739.0
Monday,14,259,32,684.0
Monday,14,259,32,806.0
Monday,15,259,32,639.0
Monday,15,259,32,779.0
Monday,17,259,32,386.0
Monday,18,259,32,865.0
Monday,18,259,32,855.0
Monday,18,259,32,946.0
Monday,19,259,32,693.0
Monday,19,259,32,685.0
Monday,20,259,32,1132.0
Monday,21,259,32,1283.0
Monday,22,259,32,634.0
Monday,22,259,32,1261.0
Monday,22,259,32,640.0
Monday,23,259,32,711.0
Tuesday,2,259,32,538.0
Tuesday,6,259,32,496.0
Tuesday,6,259,32,560.0
Tuesday,7,259,32,624.0
Tuesday,7,259,32,892.0
Tuesday,8,259,32,546.0
Tuesday,8,259,32,773.0
Tuesday,14,259,32,1533.0
Tuesday,14,259,32,750.0
Tuesday,15,259,32,781.0
Tuesday,16,259,32,1236.0
Tuesday,16,259,32,622.0
Tuesday,17,259,32,870.0
Tuesday,17,259,32,943.0
Tuesday,18,259,32,805.0
Tuesday,18,259,32,736.0
Tuesday,19,259,32,770.0
Tuesday,19,259,32,724.0
Tuesday,21,259,32,454.0
Tuesday,21,259,32,614.0
Tuesday,22,259,32,716.0
Wednesday,0,259,32,1640.0
Wednesday,7,259,32,599.0
Wednesday,7,259,32,799.0
Wednesday,8,259,32,614.0
Wednesday,9,259,32,653.0
Wednesday,10,259,32,825.0
Wednesday,10,259,32,1314.0
Wednesday,14,259,32,842.0
Wednesday,15,259,32,1980.0
Wednesday,16,259,32,1719.0
Wednesday,16,259,32,1004.0
Wednesday,17,259,32,1146.0
Wednesday,17,259,32,1025.0
Wednesday,18,259,32,1568.0
Wednesday,18,259,32,1061.0
Wednesday,20,259,32,680.0
Wednesday,20,259,32,1160.0
Wednesday,20,259,32,770.0
Wednesday,20,259,32,824.0
Wednesday,20,259,32,675.0
Wednesday,22,259,32,763.0
Wednesday,22,259,32,918.0
Wednesday,22,259,32,693.0
Wednesday,23,259,32,748.0
Thursday,1,259,32,836.0
Thursday,7,259,32,827.0
Thursday,7,259,32,599.0
Thursday,7,259,32,857.0
Thursday,8,259,32,419.0
Thursday,8,259,32,799.0
Thursday,9,259,32,790.0
Thursday,10,259,32,515.0
Thursday,13,259,32,944.0
Thursday,15,259,32,751.0
Thursday,16,259,32,627.0
Thursday,16,259,32,652.0
Thursday,16,259,32,1049.0
Thursday,17,259,32,1077.0
Thursday,18,259,32,888.0
Thursday,18,259,32,1001.0
Thursday,18,259,32,673.0
Thursday,19,259,32,947.0
Thursday,19,259,32,658.0
Thursday,20,259,32,627.0
Thursday,21,259,32,959.0
Friday,6,259,32,517.0
Friday,7,259,32,846.0
Friday,8,259,32,458.0
Friday,9,259,32,735.0
Friday,9,259,32,581.0
Friday,9,259,32,747.0
Friday,10,259,32,641.0
Friday,10,259,32,1099.0
Friday,11,259,32,714.0
Friday,11,259,32,875.0
Friday,12,259,32,766.0
Friday,12,259,32,1017.0
Friday,12,259,32,629.0
Friday,12,259,32,812.0
Friday,13,259,32,723.0
Friday,15,259,32,969.0
Friday,16,259,32,993.0
Friday,17,259,32,943.0
Friday,18,259,32,876.0
Friday,18,259,32,1152.0
Friday,18,259,32,783.0
Friday,20,259,32,818.0
Friday,20,259,32,586.0
Friday,22,259,32,671.0
Friday,22,259,32,689.0
Friday,23,259,32,567.0
Friday,23,259,32,542.0
Saturday,0,259,32,507.0
Saturday,0,259,32,418.0
Saturday,1,259,32,650.0
Saturday,1,259,32,882.0
Saturday,1,259,32,493.0
Saturday,1,259,32,1377.0
Saturday,1,259,32,713.0
Saturday,3,259,32,604.0
Saturday,8,259,32,757.0
Saturday,8,259,32,365.0
Saturday,9,259,32,770.0
